Run,ws_fail,line_fail,switch_fail,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.002558769856332568,0.00030167304036220736,0.0003124355017484906,3,109.976123,-1049.310772380642
run2,0.002332810130695548,0.0002526640065847342,0.00025742440638000877,3,109.841597,-1036.1108376828768
run3,0.0020600170751681056,0.00017798304033292222,0.00024020226049423994,3,109.519271,-1014.0034314320155
run4,0.002556864209524865,0.00027967649768694696,0.00033520647872438625,95,3494.138793,-1069.5487348974045
run5,0.001992487205338916,0.00024191432948609157,0.00021147018360838135,3,110.360142,-1026.7982883734962
run6,0.0024896451740846763,0.00032977020603712883,0.0003458130579575136,31,1146.728265,-1078.6704065028243
run7,0.0015740497275779496,0.00014314096628174097,0.00018734842171006368,79,2925.596892,-1003.2901139072701
run8,0.0017841310096930844,0.00013172739751862763,0.0002401822407330739,3,110.844296,-1035.1521382314224
run9,0.002398938258805511,0.0002320032600382133,0.0003585173063052201,3,110.825382,-1075.0976393596475
run10,0.002283373498724954,0.00018620822575300393,0.00023999532511241698,3,110.787986,-999.4101481770497
