Run,alpha,betax,zetax,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.35550665915433505,0.09167354490544678,0.17183266132265504,3,3141.740462,-3124.7556153679147
run2,0.39264029747723456,0.10345478720308063,0.19112720777550446,3,3170.413792,-3058.1430396990727
run3,0.377212851068353,0.10426225943723536,0.19412111486245612,3,3158.620424,-3048.198503518857
run4,0.3500086409063252,0.11806058468999422,0.20433304031706695,3,3207.503658,-2993.8416452609113
run5,0.3730005671954348,0.10123696023467792,0.19898594392820534,3,3224.33203,-3044.411533557117
run6,0.3567512160770153,0.10142233875757234,0.18526589076873454,3,3245.534503,-3134.6853675612224
run7,0.3498105319893779,0.10436550164182852,0.22981334752823998,3,3236.881586,-3157.7324580560826
run8,0.36157994541233557,0.10472885918315243,0.1963473757913214,3,3246.060897,-3146.626882395132
run9,0.35346147893986357,0.08792818982414886,0.21170797165258223,3,3248.278754,-3272.0640227559416
run10,0.36881597792778975,0.10440931815341033,0.21415633081970847,3,3248.333566,-2920.797623104709
